f001,f002,f003,f004,f005,f006,f007,f008,f009,f010,f011,f012,f013,y
17/10/2018,8,9.2,68,0.2,952,3.5,0.28,0.0,0.0,Autumn,No Holiday,Yes,2202
25/12/2017,1,-1.2,57,4.3,1429,-8.6,0.0,0.0,0.0,Winter,Holiday,Yes,132
03/12/2017,11,5.1,87,1.4,321,3.1,0.25,0.0,0.0,Winter,No Holiday,Yes,273
02/01/2018,19,-1.3,28,2.4,2000,-17.5,0.0,0.0,0.0,Winter,No Holiday,Yes,403
18/04/2018,22,11.3,42,1.6,1189,-1.1,0.0,0.0,0.0,Spring,No Holiday,Yes,1003
18/05/2018,14,16.7,88,1.5,1760,14.6,0.72,0.0,0.0,Spring,No Holiday,Yes,697
21/11/2018,8,6.4,86,0.9,450,4.2,0.03,0.0,0.0,Autumn,No Holiday,Yes,1622
05/08/2018,6,27.3,83,1.4,1080,24.1,0.0,0.0,0.0,Summer,No Holiday,Yes,222
27/06/2018,0,20.5,94,3.7,896,19.4,0.0,0.0,0.0,Summer,No Holiday,Yes,513
04/04/2018,19,14.3,53,2.1,2000,4.8,0.17,0.0,0.0,Spring,No Holiday,Yes,1626
18/07/2018,11,30.2,53,2.2,1143,19.5,2.77,0.0,0.0,Summer,No Holiday,Yes,701
08/04/2018,15,7.3,38,0.8,2000,-6.1,0.38,0.0,0.0,Spring,No Holiday,Yes,343
18/05/2018,6,17.4,98,0.3,234,17.0,0.0,0.0,0.0,Spring,No Holiday,Yes,77
05/06/2018,18,27.1,40,2.8,1811,12.3,1.0,0.0,0.0,Summer,No Holiday,Yes,3227
31/05/2018,8,16.9,65,1.6,896,10.2,1.21,0.0,0.0,Spring,No Holiday,Yes,2281
14/12/2017,23,-5.6,53,1.2,1290,-13.6,0.0,0.0,0.0,Winter,No Holiday,Yes,211
10/09/2018,1,20.5,58,1.7,2000,11.9,0.0,0.0,0.0,Autumn,No Holiday,Yes,487
01/06/2018,19,26.8,35,1.9,2000,10.0,0.54,0.0,0.0,Summer,No Holiday,Yes,2505
11/04/2018,7,8.8,85,1.1,438,6.4,0.11,0.0,0.0,Spring,No Holiday,No,0
23/07/2018,4,29.3,51,0.9,1498,18.1,0.0,0.0,0.0,Summer,No Holiday,Yes,174
24/10/2018,16,18.2,42,1.3,1976,5.0,1.22,0.0,0.0,Autumn,No Holiday,Yes,1492
08/12/2017,16,-1.1,24,3.4,2000,-19.1,0.56,0.0,0.0,Winter,No Holiday,Yes,401
16/04/2018,10,12.4,34,1.2,1943,-3.0,2.24,0.0,0.0,Spring,No Holiday,Yes,700
08/11/2018,16,11.7,96,1.4,587,11.0,0.02,0.0,0.0,Autumn,No Holiday,Yes,14
18/12/2017,12,-1.8,83,1.2,351,-4.3,0.09,1.1,5.1,Winter,No Holiday,Yes,62
08/03/2018,22,2.8,74,2.1,469,-1.3,0.0,0.0,0.0,Spring,No Holiday,Yes,498
24/12/2017,1,5.6,78,0.5,197,2.0,0.0,0.0,0.0,Winter,Holiday,Yes,251
28/01/2018,5,-7.5,33,1.5,2000,-21.0,0.0,0.0,0.0,Winter,No Holiday,Yes,21
27/01/2018,16,-3.7,25,2.6,1839,-20.9,0.74,0.0,0.0,Winter,No Holiday,Yes,195
04/09/2018,1,21.3,97,1.1,570,20.7,0.0,0.0,0.0,Autumn,No Holiday,Yes,486
01/05/2018,15,23.1,61,2.5,556,15.1,1.5,0.0,0.0,Spring,Holiday,Yes,1639
12/02/2018,8,-9.1,33,2.1,1998,-22.4,0.03,0.0,0.0,Winter,No Holiday,Yes,517
14/08/2018,21,31.3,59,0.3,2000,22.3,0.0,0.0,0.0,Summer,No Holiday,Yes,1684
13/12/2017,9,-11.1,46,3.4,1981,-20.4,0.1,0.0,0.0,Winter,No Holiday,Yes,340
19/12/2017,11,-3.5,35,2.2,1742,-16.7,0.87,0.0,2.5,Winter,No Holiday,Yes,174
02/01/2018,9,-3.1,66,0.2,1168,-8.5,0.12,0.0,0.0,Winter,No Holiday,Yes,315
16/01/2018,15,6.3,40,0.3,498,-6.3,0.19,0.0,0.0,Winter,No Holiday,Yes,250
27/08/2018,9,21.5,97,0.9,1543,20.9,0.19,0.5,0.0,Summer,No Holiday,Yes,75
11/10/2018,6,6.6,65,1.6,2000,0.4,0.0,0.0,0.0,Autumn,No Holiday,Yes,518
15/08/2018,2,29.5,68,0.4,1949,22.9,0.0,0.0,0.0,Summer,Holiday,Yes,676
19/02/2018,1,-1.4,42,1.1,1805,-12.6,0.0,0.0,0.0,Winter,No Holiday,Yes,101
28/12/2017,7,-5.0,31,0.5,2000,-19.5,0.0,0.0,0.0,Winter,No Holiday,Yes,257
03/03/2018,21,10.3,52,2.2,1843,0.8,0.0,0.0,0.0,Spring,No Holiday,Yes,588
16/03/2018,17,11.2,30,1.5,2000,-5.7,1.44,0.0,0.0,Spring,No Holiday,Yes,1160
02/04/2018,17,22.0,49,3.7,1582,10.7,1.28,0.0,0.0,Spring,No Holiday,Yes,1569
25/08/2018,14,29.2,52,3.1,1735,18.3,2.68,0.0,0.0,Summer,No Holiday,Yes,1261
16/03/2018,20,6.7,41,1.0,2000,-5.6,0.0,0.0,0.0,Spring,No Holiday,Yes,774
21/08/2018,2,27.6,60,4.3,1854,19.1,0.0,0.0,0.0,Summer,No Holiday,Yes,376
24/06/2018,2,20.9,87,1.8,222,18.6,0.0,0.0,0.0,Summer,No Holiday,Yes,1254
13/03/2018,9,9.4,44,0.3,743,-2.2,0.33,0.0,0.0,Spring,No Holiday,Yes,616
18/03/2018,10,7.2,53,1.6,709,-1.7,0.45,0.0,0.0,Spring,No Holiday,Yes,460
26/09/2018,9,17.7,54,1.8,2000,8.2,0.63,0.0,0.0,Autumn,No Holiday,Yes,680
07/08/2018,17,35.6,44,2.4,1860,21.4,1.69,0.0,0.0,Summer,No Holiday,Yes,1232
06/10/2018,13,17.7,89,5.0,2000,15.8,0.62,0.5,0.0,Autumn,No Holiday,Yes,529
25/03/2018,22,8.8,79,2.0,203,5.3,0.0,0.0,0.0,Spring,No Holiday,Yes,424
05/09/2018,18,27.0,45,2.4,2000,14.0,0.77,0.0,0.0,Autumn,No Holiday,Yes,3160
02/05/2018,3,18.5,82,0.8,342,15.3,0.0,0.0,0.0,Spring,No Holiday,Yes,170
24/12/2017,6,4.9,84,1.3,159,2.4,0.0,0.1,0.0,Winter,Holiday,Yes,12
22/10/2018,4,10.0,62,0.6,1759,3.0,0.0,0.0,0.0,Autumn,No Holiday,Yes,110
27/01/2018,3,-15.3,43,0.8,1963,-25.0,0.0,0.0,0.3,Winter,No Holiday,Yes,41
22/11/2018,12,5.9,23,2.8,1985,-13.7,1.88,0.0,0.0,Autumn,No Holiday,Yes,717
07/01/2018,19,1.6,35,1.0,1419,-12.2,0.0,0.0,0.0,Winter,No Holiday,Yes,246
08/06/2018,14,25.0,54,2.2,1146,15.0,1.86,0.0,0.0,Summer,No Holiday,Yes,1249
29/01/2018,17,-5.7,30,3.6,1978,-20.5,0.4,0.0,0.0,Winter,No Holiday,Yes,239
04/10/2018,18,23.1,48,1.3,2000,11.4,0.2,0.0,0.0,Autumn,No Holiday,No,0
02/07/2018,5,20.7,97,0.3,2000,20.2,0.0,0.5,0.0,Summer,No Holiday,Yes,28
26/04/2018,14,21.6,28,3.1,1414,2.2,2.84,0.0,0.0,Spring,No Holiday,Yes,1123
15/09/2018,7,21.2,84,0.3,2000,18.3,0.05,0.0,0.0,Autumn,No Holiday,Yes,453
12/06/2018,23,19.5,72,0.6,1989,14.3,0.0,0.0,0.0,Summer,No Holiday,Yes,1657
08/01/2018,14,3.4,31,1.4,1267,-12.1,0.36,0.0,0.0,Winter,No Holiday,Yes,349
10/07/2018,8,21.7,89,0.5,2000,19.8,0.31,0.0,0.0,Summer,No Holiday,Yes,2017
13/03/2018,22,13.5,81,2.8,933,10.2,0.0,0.0,0.0,Spring,No Holiday,Yes,912
01/12/2017,15,2.1,36,3.2,2000,-11.4,0.54,0.0,0.0,Winter,No Holiday,Yes,463
06/12/2017,23,1.3,92,0.6,209,0.1,0.0,0.0,1.0,Winter,No Holiday,Yes,193
29/10/2018,11,11.0,46,2.6,1946,-0.1,1.97,0.0,0.0,Autumn,No Holiday,Yes,796
09/03/2018,11,5.9,51,0.7,1866,-3.4,0.91,0.0,0.0,Spring,No Holiday,Yes,444
10/07/2018,9,22.3,86,1.0,2000,19.8,0.42,0.0,0.0,Summer,No Holiday,Yes,1061
02/09/2018,21,26.2,62,2.3,2000,18.3,0.0,0.0,0.0,Autumn,No Holiday,Yes,1759
18/01/2018,9,1.2,84,2.1,210,-1.2,0.07,0.0,0.0,Winter,No Holiday,Yes,305
05/06/2018,11,26.8,37,1.6,1639,10.8,2.91,0.0,0.0,Summer,No Holiday,Yes,974
04/04/2018,20,12.8,56,2.0,2000,4.2,0.0,0.0,0.0,Spring,No Holiday,Yes,1374
02/09/2018,20,26.9,56,1.6,2000,17.3,0.0,0.0,0.0,Autumn,No Holiday,Yes,1838
09/11/2018,5,10.9,68,3.1,1034,5.2,0.0,0.0,0.0,Autumn,No Holiday,No,0
07/05/2018,16,24.5,38,2.2,1903,9.2,1.1,0.0,0.0,Spring,No Holiday,Yes,2213
31/03/2018,13,19.3,37,3.0,1257,4.2,2.53,0.0,0.0,Spring,No Holiday,Yes,1218
26/01/2018,18,-12.7,33,2.5,1835,-25.6,0.05,0.0,0.3,Winter,No Holiday,Yes,305
25/07/2018,0,28.9,66,2.2,2000,21.9,0.0,0.0,0.0,Summer,No Holiday,Yes,939
20/01/2018,12,5.3,55,2.6,904,-3.0,0.85,0.0,0.0,Winter,No Holiday,Yes,325
17/02/2018,4,-5.2,28,2.5,2000,-20.9,0.0,0.0,0.0,Winter,Holiday,Yes,20
11/07/2018,3,24.5,97,0.8,263,23.9,0.0,0.5,0.0,Summer,No Holiday,Yes,157
15/10/2018,22,14.8,83,1.5,227,11.9,0.0,0.0,0.0,Autumn,No Holiday,Yes,1377
29/08/2018,0,22.7,96,0.3,2000,22.0,0.0,1.0,0.0,Summer,No Holiday,Yes,208
27/09/2018,10,19.9,47,1.8,1989,8.2,1.93,0.0,0.0,Autumn,No Holiday,Yes,907
14/06/2018,10,19.7,94,1.1,497,18.7,0.61,1.0,0.0,Summer,No Holiday,Yes,532
30/09/2018,2,17.3,68,0.7,2000,11.3,0.0,0.0,0.0,Autumn,No Holiday,No,0
18/01/2018,18,2.0,39,2.1,1259,-10.5,0.01,0.0,0.0,Winter,No Holiday,Yes,506
25/12/2017,3,-2.3,52,3.4,1947,-10.8,0.0,0.0,0.0,Winter,Holiday,Yes,100
01/03/2018,22,-3.6,52,3.7,1277,-12.0,0.0,0.0,0.0,Spring,Holiday,Yes,190
22/08/2018,0,25.1,79,0.5,1891,21.1,0.0,0.0,0.0,Summer,No Holiday,Yes,1025
05/04/2018,11,7.1,93,2.6,697,6.0,0.19,0.0,0.0,Spring,No Holiday,Yes,47
24/04/2018,23,9.6,44,0.7,2000,-2.0,0.0,0.0,0.0,Spring,No Holiday,Yes,725
15/02/2018,9,-3.5,30,1.5,1980,-18.6,0.0,0.0,0.0,Winter,Holiday,Yes,112
25/11/2018,23,3.8,83,1.1,390,1.1,0.0,0.0,0.4,Autumn,No Holiday,Yes,379
06/05/2018,1,18.2,71,1.6,1328,12.8,0.0,0.0,0.0,Spring,No Holiday,Yes,181
16/02/2018,11,1.0,25,1.4,1782,-16.8,1.7,0.0,0.0,Winter,Holiday,Yes,93
15/10/2018,5,11.1,79,0.3,1140,7.5,0.0,0.0,0.0,Autumn,No Holiday,Yes,209
14/04/2018,19,9.5,76,2.3,2000,5.4,0.02,0.0,0.0,Spring,No Holiday,Yes,612
22/03/2018,21,4.5,62,2.0,826,-2.1,0.0,0.0,0.0,Spring,No Holiday,Yes,726
21/06/2018,18,27.8,43,3.0,1933,14.0,1.35,0.0,0.0,Summer,No Holiday,Yes,3418
14/09/2018,19,25.3,60,1.2,2000,16.9,0.04,0.0,0.0,Autumn,No Holiday,Yes,1996
28/11/2018,14,10.3,14,1.1,1880,-16.1,1.7,0.0,0.0,Autumn,No Holiday,Yes,675
17/12/2017,3,-9.0,40,3.1,2000,-20.1,0.0,0.0,0.0,Winter,No Holiday,Yes,100
05/08/2018,10,29.5,78,2.0,1091,25.2,1.28,0.0,0.0,Summer,No Holiday,Yes,461
13/01/2018,0,-6.6,39,1.6,1930,-18.2,0.0,0.0,0.0,Winter,No Holiday,Yes,152
07/08/2018,15,34.3,49,1.0,1633,22.0,1.62,0.0,0.0,Summer,No Holiday,Yes,698
14/03/2018,16,21.7,41,3.2,2000,7.8,1.91,0.0,0.0,Spring,No Holiday,Yes,1049
29/10/2018,20,6.8,59,3.2,2000,-0.6,0.0,0.0,0.0,Autumn,No Holiday,Yes,1026
20/03/2018,13,8.0,37,3.4,2000,-5.8,1.96,0.0,0.0,Spring,No Holiday,Yes,516
22/04/2018,4,14.9,35,0.8,2000,-0.4,0.0,0.0,0.0,Spring,No Holiday,Yes,192
16/10/2018,3,11.5,61,1.4,1399,4.2,0.0,0.0,0.0,Autumn,No Holiday,Yes,253
14/07/2018,2,25.3,85,1.7,1594,22.5,0.0,0.0,0.0,Summer,No Holiday,Yes,783
08/01/2018,19,0.9,88,1.6,290,-0.8,0.0,0.0,0.5,Winter,No Holiday,Yes,127
06/07/2018,1,23.1,66,1.6,2000,16.3,0.0,0.0,0.0,Summer,No Holiday,Yes,839
29/12/2017,19,2.7,68,1.2,348,-2.6,0.0,0.0,0.0,Winter,No Holiday,Yes,395
11/07/2018,12,28.1,73,2.1,1326,22.7,0.87,0.0,0.0,Summer,No Holiday,Yes,964
17/02/2018,19,-1.5,32,2.5,2000,-16.0,0.0,0.0,0.0,Winter,Holiday,Yes,169
05/03/2018,12,7.6,58,2.4,2000,-0.1,1.85,0.0,0.0,Spring,No Holiday,Yes,438
06/08/2018,17,35.0,53,1.5,1618,23.9,1.78,0.0,0.0,Summer,No Holiday,Yes,1063
08/05/2018,2,15.5,65,1.3,1953,8.9,0.0,0.0,0.0,Spring,No Holiday,Yes,287
26/05/2018,6,14.2,72,0.6,947,9.2,0.04,0.0,0.0,Spring,No Holiday,Yes,299
04/10/2018,1,14.7,69,0.6,2000,9.0,0.0,0.0,0.0,Autumn,No Holiday,No,0
26/04/2018,20,14.4,50,2.7,1216,4.0,0.01,0.0,0.0,Spring,No Holiday,Yes,1531
23/10/2018,13,13.5,82,0.8,962,10.4,1.33,0.0,0.0,Autumn,No Holiday,Yes,652
02/12/2017,20,4.6,51,1.2,1585,-4.6,0.0,0.0,0.0,Winter,No Holiday,Yes,359
14/05/2018,9,15.1,74,0.6,437,10.4,0.76,0.0,0.0,Spring,No Holiday,Yes,1106
05/04/2018,2,9.0,63,2.1,2000,2.3,0.0,0.0,0.0,Spring,No Holiday,Yes,220
06/11/2018,16,16.6,55,1.3,334,7.5,0.66,0.0,0.0,Autumn,No Holiday,No,0
19/01/2018,11,2.2,20,0.6,1794,-18.5,0.83,0.0,0.0,Winter,No Holiday,Yes,283
29/07/2018,11,33.6,46,1.7,1965,20.3,2.6,0.0,0.0,Summer,No Holiday,Yes,476
30/05/2018,21,18.2,69,2.0,1286,12.4,0.0,0.0,0.0,Spring,No Holiday,Yes,2074
06/04/2018,14,7.4,56,3.5,461,-0.8,1.04,0.0,0.0,Spring,No Holiday,Yes,572
09/02/2018,3,-5.2,48,0.7,1309,-14.5,0.0,0.0,0.0,Winter,No Holiday,Yes,78
15/09/2018,17,24.4,75,0.6,2000,19.6,0.17,0.0,0.0,Autumn,No Holiday,Yes,1474
15/05/2018,11,24.8,36,1.8,973,8.7,2.7,0.0,0.0,Spring,No Holiday,Yes,944
01/09/2018,1,22.7,83,0.1,1940,19.6,0.0,0.0,0.0,Autumn,No Holiday,Yes,975
03/12/2017,15,8.0,73,1.6,433,3.4,0.53,0.0,0.0,Winter,No Holiday,Yes,621
26/12/2017,17,-3.6,20,3.7,2000,-23.3,0.23,0.0,0.0,Winter,No Holiday,Yes,350
22/08/2018,7,24.3,74,0.6,1999,19.3,0.1,0.0,0.0,Summer,No Holiday,Yes,1330
31/10/2018,16,11.8,34,2.3,1979,-3.5,1.16,0.0,0.0,Autumn,No Holiday,Yes,1185
10/12/2017,11,0.9,92,0.9,137,-0.2,0.03,0.0,3.9,Winter,No Holiday,Yes,58
26/06/2018,6,22.5,83,0.8,537,19.4,0.0,0.4,0.0,Summer,No Holiday,Yes,37
17/09/2018,2,20.3,81,1.9,1234,16.9,0.0,0.1,0.0,Autumn,No Holiday,Yes,227
31/07/2018,17,38.0,36,1.3,1989,20.3,2.03,0.0,0.0,Summer,No Holiday,Yes,1184
21/10/2018,5,8.2,73,1.3,1305,3.6,0.0,0.0,0.0,Autumn,No Holiday,Yes,146
26/10/2018,15,14.0,87,1.2,1482,11.8,0.68,1.0,0.0,Autumn,No Holiday,Yes,576
10/01/2018,9,-7.7,62,3.6,1637,-13.7,0.13,0.0,0.7,Winter,No Holiday,Yes,225
14/02/2018,5,1.0,68,0.6,1519,-4.2,0.0,0.0,0.0,Winter,No Holiday,Yes,56
12/03/2018,23,6.8,56,0.9,497,-1.3,0.0,0.0,0.0,Spring,No Holiday,Yes,397
02/06/2018,12,28.3,30,3.0,1675,9.0,3.29,0.0,0.0,Summer,No Holiday,Yes,1253
19/07/2018,1,25.4,79,0.8,924,21.4,0.0,0.0,0.0,Summer,No Holiday,Yes,824
03/08/2018,3,31.2,68,1.4,968,24.5,0.0,0.0,0.0,Summer,No Holiday,Yes,327
01/09/2018,23,24.4,54,1.6,2000,14.4,0.0,0.0,0.0,Autumn,No Holiday,Yes,1523
29/05/2018,5,19.6,64,0.3,1483,12.5,0.0,0.0,0.0,Spring,No Holiday,Yes,252
29/03/2018,19,17.5,61,2.2,758,9.8,0.11,0.0,0.0,Spring,No Holiday,Yes,1260
29/11/2018,2,2.1,28,0.4,1981,-14.5,0.0,0.0,0.0,Autumn,No Holiday,Yes,319
23/08/2018,2,29.8,53,1.4,2000,19.1,0.0,0.0,0.0,Summer,No Holiday,Yes,492
16/02/2018,12,2.2,19,1.4,1946,-19.1,2.01,0.0,0.0,Winter,Holiday,Yes,137
14/06/2018,14,23.8,62,1.2,1282,16.0,1.91,0.0,0.0,Summer,No Holiday,Yes,1153
06/08/2018,5,28.3,83,1.7,969,25.1,0.0,0.0,0.0,Summer,No Holiday,Yes,258
24/09/2018,16,22.0,31,2.7,2000,4.0,1.87,0.0,0.0,Autumn,Holiday,Yes,1433
07/05/2018,5,14.2,85,0.5,1412,11.7,0.0,0.0,0.0,Spring,No Holiday,Yes,170
11/12/2017,12,-5.2,33,4.6,1973,-19.0,1.26,0.0,0.0,Winter,No Holiday,Yes,247
14/06/2018,9,19.1,96,0.6,273,18.4,0.17,1.5,0.0,Summer,No Holiday,Yes,175
09/08/2018,1,28.8,75,2.1,1975,23.9,0.0,0.0,0.0,Summer,No Holiday,Yes,733
13/02/2018,13,2.6,40,3.5,1854,-9.6,2.28,0.0,0.0,Winter,No Holiday,Yes,256
24/08/2018,9,24.8,85,1.7,2000,22.0,0.32,0.0,0.0,Summer,No Holiday,Yes,484
24/02/2018,19,2.1,27,2.8,1883,-15.0,0.01,0.0,0.0,Winter,No Holiday,Yes,306
22/06/2018,8,21.9,58,1.2,771,13.2,1.29,0.0,0.0,Summer,No Holiday,Yes,2283
01/09/2018,11,27.6,47,1.2,2000,15.2,2.63,0.0,0.0,Autumn,No Holiday,Yes,981
10/11/2018,11,13.8,63,2.2,416,6.8,1.32,0.0,0.0,Autumn,No Holiday,Yes,768
18/02/2018,6,-4.1,30,1.1,2000,-19.1,0.0,0.0,0.0,Winter,No Holiday,Yes,38
25/03/2018,14,16.1,37,2.4,315,1.3,2.62,0.0,0.0,Spring,No Holiday,Yes,882
27/02/2018,7,1.3,47,0.7,1084,-8.7,0.0,0.0,0.0,Winter,No Holiday,Yes,443
06/10/2018,18,20.5,66,1.2,2000,13.9,0.16,0.0,0.0,Autumn,No Holiday,Yes,2012
27/05/2018,14,24.2,36,4.0,1907,8.1,2.16,0.0,0.0,Spring,No Holiday,Yes,1730
10/06/2018,10,20.2,62,1.8,2000,12.6,0.82,0.0,0.0,Summer,No Holiday,Yes,942
23/03/2018,1,2.5,75,1.5,786,-1.4,0.0,0.0,0.0,Spring,No Holiday,Yes,283
11/05/2018,21,16.4,52,1.5,1273,6.5,0.0,0.0,0.0,Spring,No Holiday,Yes,1644
11/05/2018,22,16.2,54,1.1,1327,6.8,0.0,0.0,0.0,Spring,No Holiday,Yes,1556
10/11/2018,18,13.2,57,2.2,618,4.8,0.01,0.0,0.0,Autumn,No Holiday,Yes,1226
04/12/2017,3,3.6,85,2.3,206,1.3,0.0,0.0,0.0,Winter,No Holiday,Yes,65
08/03/2018,17,7.5,64,4.3,538,1.1,0.88,0.0,0.0,Spring,No Holiday,Yes,757
08/03/2018,23,2.8,73,1.8,468,-1.5,0.0,0.0,0.0,Spring,No Holiday,Yes,315
11/09/2018,9,19.8,49,1.9,2000,8.7,1.24,0.0,0.0,Autumn,No Holiday,Yes,1234
18/12/2017,22,1.5,82,2.4,537,-1.2,0.0,0.0,2.6,Winter,No Holiday,Yes,160
17/06/2018,1,20.9,79,2.0,932,17.1,0.0,0.0,0.0,Summer,No Holiday,Yes,929
12/09/2018,8,18.2,56,1.5,1994,9.2,0.62,0.0,0.0,Autumn,No Holiday,Yes,2391
24/04/2018,8,10.5,79,1.3,2000,7.0,0.29,0.0,0.0,Spring,No Holiday,Yes,1502
05/07/2018,22,24.4,67,1.6,2000,17.8,0.0,0.0,0.0,Summer,No Holiday,Yes,1941
08/11/2018,15,11.4,96,2.0,910,10.7,0.07,9.5,0.0,Autumn,No Holiday,Yes,56
30/04/2018,8,15.8,73,0.5,357,10.9,0.39,0.0,0.0,Spring,No Holiday,Yes,1791
23/07/2018,11,32.7,48,2.2,1908,20.2,2.53,0.0,0.0,Summer,No Holiday,Yes,611
16/08/2018,15,35.0,38,2.0,2000,18.5,2.8,0.0,0.0,Summer,No Holiday,Yes,720
16/11/2018,4,7.1,64,0.6,663,0.7,0.0,0.0,0.0,Autumn,No Holiday,Yes,171
17/11/2018,3,2.5,77,2.3,992,-1.1,0.0,0.0,0.0,Autumn,No Holiday,Yes,288
01/08/2018,0,30.5,68,1.9,2000,23.9,0.0,0.0,0.0,Summer,No Holiday,Yes,875
11/12/2017,0,-2.5,39,3.4,2000,-14.5,0.0,0.0,0.0,Winter,No Holiday,Yes,125
02/01/2018,15,1.5,22,3.0,1998,-17.9,0.76,0.0,0.0,Winter,No Holiday,Yes,295
26/01/2018,10,-16.5,33,3.4,1703,-29.0,0.62,0.0,0.5,Winter,No Holiday,Yes,96
02/09/2018,11,26.5,44,1.4,1958,13.2,2.62,0.0,0.0,Autumn,No Holiday,Yes,940
10/01/2018,17,-6.5,34,4.0,2000,-19.8,0.31,0.0,0.0,Winter,No Holiday,Yes,266
03/01/2018,17,-1.9,35,1.8,2000,-15.3,0.25,0.0,0.0,Winter,No Holiday,Yes,382
01/03/2018,8,1.5,80,3.2,1246,-1.5,0.04,0.0,0.0,Spring,Holiday,Yes,148
20/05/2018,4,12.8,44,0.8,2000,0.8,0.0,0.0,0.0,Spring,No Holiday,Yes,205
01/06/2018,14,29.6,31,3.7,1988,10.6,3.25,0.0,0.0,Summer,No Holiday,Yes,1071
05/02/2018,15,-5.7,25,4.4,1995,-22.6,1.94,0.0,0.0,Winter,No Holiday,Yes,169
02/04/2018,13,21.9,48,2.5,1113,10.3,2.14,0.0,0.0,Spring,No Holiday,Yes,818
12/04/2018,14,18.8,27,4.9,1888,-0.6,3.13,0.0,0.0,Spring,No Holiday,Yes,990
18/06/2018,10,26.1,53,0.9,554,15.7,2.14,0.0,0.0,Summer,No Holiday,Yes,822
16/06/2018,23,22.1,73,1.6,1180,17.0,0.0,0.0,0.0,Summer,No Holiday,Yes,1615
29/12/2017,12,4.3,62,1.6,472,-2.3,0.52,0.0,0.0,Winter,No Holiday,Yes,363
31/07/2018,6,27.9,63,0.5,2000,20.1,0.01,0.0,0.0,Summer,No Holiday,Yes,584
06/02/2018,12,-8.2,31,2.7,1858,-22.3,2.09,0.0,0.0,Winter,No Holiday,Yes,172
30/05/2018,19,21.2,52,3.6,1856,10.9,0.55,0.0,0.0,Spring,No Holiday,Yes,2650
31/01/2018,18,-1.8,35,2.1,2000,-15.2,0.05,0.0,1.6,Winter,No Holiday,Yes,403
28/02/2018,10,6.5,53,2.0,518,-2.4,0.21,0.0,0.0,Winter,No Holiday,Yes,285
14/02/2018,1,1.3,67,1.2,1738,-4.1,0.0,0.0,0.0,Winter,No Holiday,Yes,213
26/02/2018,7,-3.1,68,0.8,1417,-8.1,0.0,0.0,0.0,Winter,No Holiday,Yes,402
12/06/2018,6,16.7,85,1.0,2000,14.1,0.03,0.0,0.0,Summer,No Holiday,Yes,740
26/01/2018,13,-13.3,28,2.7,1889,-27.9,1.26,0.0,0.5,Winter,No Holiday,Yes,115
13/08/2018,21,30.4,66,1.6,2000,23.3,0.0,0.0,0.0,Summer,No Holiday,Yes,1851
28/04/2018,6,10.6,84,1.1,284,8.0,0.0,0.0,0.0,Spring,No Holiday,Yes,230
27/04/2018,20,16.9,41,3.1,1060,3.5,0.0,0.0,0.0,Spring,No Holiday,Yes,1499
02/07/2018,2,21.2,97,0.8,1018,20.6,0.0,2.0,0.0,Summer,No Holiday,Yes,17
19/05/2018,2,11.1,74,1.9,2000,6.6,0.0,0.0,0.0,Spring,No Holiday,Yes,526
30/05/2018,6,18.6,84,0.7,316,15.8,0.01,0.0,0.0,Spring,No Holiday,Yes,505
24/04/2018,9,12.0,71,1.4,2000,6.8,0.92,0.0,0.0,Spring,No Holiday,Yes,814
02/07/2018,19,24.1,93,2.1,1118,22.8,0.23,1.5,0.0,Summer,No Holiday,Yes,44
08/08/2018,9,30.2,66,1.4,1131,23.1,1.48,0.0,0.0,Summer,No Holiday,Yes,920
21/12/2017,14,4.3,47,2.3,953,-6.0,0.96,0.0,1.6,Winter,No Holiday,Yes,255
18/04/2018,20,13.0,41,2.3,1164,0.0,0.0,0.0,0.0,Spring,No Holiday,Yes,1346
02/11/2018,12,14.9,40,1.1,1288,1.4,2.06,0.0,0.0,Autumn,No Holiday,Yes,1023
10/06/2018,11,21.3,56,1.5,1989,12.1,1.18,0.0,0.0,Summer,No Holiday,Yes,1074
08/03/2018,0,5.2,83,1.5,733,2.5,0.0,0.5,0.0,Spring,No Holiday,Yes,49
02/12/2017,5,-4.0,79,1.5,1202,-7.1,0.0,0.0,0.0,Winter,No Holiday,Yes,79
24/07/2018,23,29.3,66,2.8,1854,22.2,0.0,0.0,0.0,Summer,No Holiday,Yes,1193
25/09/2018,16,24.2,28,1.7,2000,4.5,1.86,0.0,0.0,Autumn,Holiday,Yes,1955
23/11/2018,14,6.3,16,2.9,2000,-17.7,1.67,0.0,0.0,Autumn,No Holiday,Yes,719
15/01/2018,12,6.2,64,1.9,549,-0.1,0.79,0.0,0.0,Winter,No Holiday,Yes,311
06/12/2017,4,-3.4,75,0.0,1982,-7.2,0.0,0.0,0.4,Winter,No Holiday,Yes,58
06/10/2018,0,16.4,94,1.8,1744,15.4,0.0,1.0,0.0,Autumn,No Holiday,No,0
09/09/2018,14,28.2,29,2.0,2000,8.4,3.09,0.0,0.0,Autumn,No Holiday,Yes,1662
17/05/2018,11,20.4,98,0.9,300,20.0,0.25,2.5,0.0,Spring,No Holiday,Yes,182
25/07/2018,20,30.9,67,1.7,1470,24.0,0.05,0.0,0.0,Summer,No Holiday,Yes,1935
06/03/2018,18,8.7,28,3.2,2000,-8.8,0.49,0.0,0.0,Spring,No Holiday,Yes,1246
